Title,ID,Country,Year,"Technologies referenced","Technologies referenced id","Technologies used","Technologies used id",Topic,"Topic id",Sentiment,"Sentiment id"
"SEER: Simulative Emotional Expression Robot",1626,Japan,2018,"AI (General Purpose Artificial Intelligence)",152,"Emotion recognition",91,Playful,170,Exciting,97
"SEER: Simulative Emotional Expression Robot",1626,Japan,2018,"AI (General Purpose Artificial Intelligence)",152,"Emotion recognition",91,Playful,170,Wondrous,325
"SEER: Simulative Emotional Expression Robot",1626,Japan,2018,"AI (General Purpose Artificial Intelligence)",152,"Emotion recognition",91,Robots/androids,51,Exciting,97
"SEER: Simulative Emotional Expression Robot",1626,Japan,2018,"AI (General Purpose Artificial Intelligence)",152,"Emotion recognition",91,Robots/androids,51,Wondrous,325
"SEER: Simulative Emotional Expression Robot",1626,Japan,2018,"AI (General Purpose Artificial Intelligence)",152,"Facial recognition",7,Playful,170,Exciting,97
"SEER: Simulative Emotional Expression Robot",1626,Japan,2018,"AI (General Purpose Artificial Intelligence)",152,"Facial recognition",7,Playful,170,Wondrous,325
"SEER: Simulative Emotional Expression Robot",1626,Japan,2018,"AI (General Purpose Artificial Intelligence)",152,"Facial recognition",7,Robots/androids,51,Exciting,97
"SEER: Simulative Emotional Expression Robot",1626,Japan,2018,"AI (General Purpose Artificial Intelligence)",152,"Facial recognition",7,Robots/androids,51,Wondrous,325
"Captain America: The Winter soldier",1946,"United States",2016,"Body scans",90,,,AI,168,Empowering,318
"Captain America: The Winter soldier",1946,"United States",2016,"Body scans",90,,,AI,168,Fun,212
"Captain America: The Winter soldier",1946,"United States",2016,"Body scans",90,,,AI,168,Helpful,98
"Captain America: The Winter soldier",1946,"United States",2016,"Body scans",90,,,AI,168,Hostile,99
"Captain America: The Winter soldier",1946,"United States",2016,"Body scans",90,,,Grief,161,Empowering,318
"Captain America: The Winter soldier",1946,"United States",2016,"Body scans",90,,,Grief,161,Fun,212
"Captain America: The Winter soldier",1946,"United States",2016,"Body scans",90,,,Grief,161,Helpful,98
"Captain America: The Winter soldier",1946,"United States",2016,"Body scans",90,,,Grief,161,Hostile,99
"Captain America: The Winter soldier",1946,"United States",2016,"Body scans",90,,,Hacking,160,Empowering,318
"Captain America: The Winter soldier",1946,"United States",2016,"Body scans",90,,,Hacking,160,Fun,212
"Captain America: The Winter soldier",1946,"United States",2016,"Body scans",90,,,Hacking,160,Helpful,98
"Captain America: The Winter soldier",1946,"United States",2016,"Body scans",90,,,Hacking,160,Hostile,99
"Captain America: The Winter soldier",1946,"United States",2016,"Body scans",90,,,Surveillance,52,Empowering,318
"Captain America: The Winter soldier",1946,"United States",2016,"Body scans",90,,,Surveillance,52,Fun,212
"Captain America: The Winter soldier",1946,"United States",2016,"Body scans",90,,,Surveillance,52,Helpful,98
"Captain America: The Winter soldier",1946,"United States",2016,"Body scans",90,,,Surveillance,52,Hostile,99
"Captain America: The Winter soldier",1946,"United States",2016,"Body scans",90,,,War,54,Empowering,318
"Captain America: The Winter soldier",1946,"United States",2016,"Body scans",90,,,War,54,Fun,212
"Captain America: The Winter soldier",1946,"United States",2016,"Body scans",90,,,War,54,Helpful,98
"Captain America: The Winter soldier",1946,"United States",2016,"Body scans",90,,,War,54,Hostile,99
"Captain America: The Winter soldier",1946,"United States",2016,Holograms,1339,,,AI,168,Empowering,318
"Captain America: The Winter soldier",1946,"United States",2016,Holograms,1339,,,AI,168,Fun,212
"Captain America: The Winter soldier",1946,"United States",2016,Holograms,1339,,,AI,168,Helpful,98
"Captain America: The Winter soldier",1946,"United States",2016,Holograms,1339,,,AI,168,Hostile,99
"Captain America: The Winter soldier",1946,"United States",2016,Holograms,1339,,,Grief,161,Empowering,318
"Captain America: The Winter soldier",1946,"United States",2016,Holograms,1339,,,Grief,161,Fun,212
"Captain America: The Winter soldier",1946,"United States",2016,Holograms,1339,,,Grief,161,Helpful,98
"Captain America: The Winter soldier",1946,"United States",2016,Holograms,1339,,,Grief,161,Hostile,99
"Captain America: The Winter soldier",1946,"United States",2016,Holograms,1339,,,Hacking,160,Empowering,318
"Captain America: The Winter soldier",1946,"United States",2016,Holograms,1339,,,Hacking,160,Fun,212
"Captain America: The Winter soldier",1946,"United States",2016,Holograms,1339,,,Hacking,160,Helpful,98
"Captain America: The Winter soldier",1946,"United States",2016,Holograms,1339,,,Hacking,160,Hostile,99
"Captain America: The Winter soldier",1946,"United States",2016,Holograms,1339,,,Surveillance,52,Empowering,318
"Captain America: The Winter soldier",1946,"United States",2016,Holograms,1339,,,Surveillance,52,Fun,212
"Captain America: The Winter soldier",1946,"United States",2016,Holograms,1339,,,Surveillance,52,Helpful,98
"Captain America: The Winter soldier",1946,"United States",2016,Holograms,1339,,,Surveillance,52,Hostile,99
"Captain America: The Winter soldier",1946,"United States",2016,Holograms,1339,,,War,54,Empowering,318
"Captain America: The Winter soldier",1946,"United States",2016,Holograms,1339,,,War,54,Fun,212
"Captain America: The Winter soldier",1946,"United States",2016,Holograms,1339,,,War,54,Helpful,98
"Captain America: The Winter soldier",1946,"United States",2016,Holograms,1339,,,War,54,Hostile,99
"Captain America: The Winter soldier",1946,"United States",2016,"Surveillance cameras",80,,,AI,168,Empowering,318
"Captain America: The Winter soldier",1946,"United States",2016,"Surveillance cameras",80,,,AI,168,Fun,212
"Captain America: The Winter soldier",1946,"United States",2016,"Surveillance cameras",80,,,AI,168,Helpful,98
"Captain America: The Winter soldier",1946,"United States",2016,"Surveillance cameras",80,,,AI,168,Hostile,99
"Captain America: The Winter soldier",1946,"United States",2016,"Surveillance cameras",80,,,Grief,161,Empowering,318
"Captain America: The Winter soldier",1946,"United States",2016,"Surveillance cameras",80,,,Grief,161,Fun,212
"Captain America: The Winter soldier",1946,"United States",2016,"Surveillance cameras",80,,,Grief,161,Helpful,98
"Captain America: The Winter soldier",1946,"United States",2016,"Surveillance cameras",80,,,Grief,161,Hostile,99
"Captain America: The Winter soldier",1946,"United States",2016,"Surveillance cameras",80,,,Hacking,160,Empowering,318
"Captain America: The Winter soldier",1946,"United States",2016,"Surveillance cameras",80,,,Hacking,160,Fun,212
"Captain America: The Winter soldier",1946,"United States",2016,"Surveillance cameras",80,,,Hacking,160,Helpful,98
"Captain America: The Winter soldier",1946,"United States",2016,"Surveillance cameras",80,,,Hacking,160,Hostile,99
"Captain America: The Winter soldier",1946,"United States",2016,"Surveillance cameras",80,,,Surveillance,52,Empowering,318
"Captain America: The Winter soldier",1946,"United States",2016,"Surveillance cameras",80,,,Surveillance,52,Fun,212
"Captain America: The Winter soldier",1946,"United States",2016,"Surveillance cameras",80,,,Surveillance,52,Helpful,98
"Captain America: The Winter soldier",1946,"United States",2016,"Surveillance cameras",80,,,Surveillance,52,Hostile,99
"Captain America: The Winter soldier",1946,"United States",2016,"Surveillance cameras",80,,,War,54,Empowering,318
"Captain America: The Winter soldier",1946,"United States",2016,"Surveillance cameras",80,,,War,54,Fun,212
"Captain America: The Winter soldier",1946,"United States",2016,"Surveillance cameras",80,,,War,54,Helpful,98
"Captain America: The Winter soldier",1946,"United States",2016,"Surveillance cameras",80,,,War,54,Hostile,99
"What the Robot Saw",1545,"United States",2020,"Machine learning",12,"Emotion recognition",91,AI,168,Intimate,100
"What the Robot Saw",1545,"United States",2020,"Machine learning",12,"Emotion recognition",91,AI,168,Intrusive,209
"What the Robot Saw",1545,"United States",2020,"Machine learning",12,"Emotion recognition",91,"Social Media",177,Intimate,100
"What the Robot Saw",1545,"United States",2020,"Machine learning",12,"Emotion recognition",91,"Social Media",177,Intrusive,209
"What the Robot Saw",1545,"United States",2020,"Machine learning",12,"Emotion recognition",91,Surveillance,52,Intimate,100
